accident_reference,date_of_collision,time_of_collision,collision_severity,easting,northing,first_road_class,second_road_class,division,local_authority,cycle_involved
1032774,05-Apr-21,7:15:00 AM,Slight,436484,1169495,B,#NULL!,Highland and Islands,Shetland Islands,
1032798,02-Apr-21,1:50:00 PM,Slight,229926,740955,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
1032807,05-Apr-21,2:40:00 PM,Serious,270518,658524,B,Unclass,Lanarkshire,South Lanarkshire,
1032809,02-Apr-21,9:45:00 AM,Serious,213564,776200,A,Unclass,Highland and Islands,Highland,Involving at least 1 x Pedal Cycle
1032837,29-Mar-21,2:30:00 PM,Slight,323597,674644,B,#NULL!,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
1033074,06-Apr-21,10:20:00 AM,Slight,370051,811558,Unclassified,Unclass,North East,Aberdeenshire,
1033145,06-Apr-21,4:45:00 PM,Slight,305754,668288,A,A,The Lothians and Scottish Borders,West Lothian,
1033150,06-Apr-21,4:07:00 PM,Slight,340773,730471,A,A,Tayside,Dundee City,
1033240,19-Mar-21,3:00:00 PM,Slight,220847,659946,Unclassified,#NULL!,Ayrshire,North Ayrshire,
1033438,07-Apr-21,12:00:00 PM,Slight,265228,674312,A,#NULL!,Greater Glasgow,East Dunbartonshire,
1033474,06-Apr-21,2:45:00 PM,Serious,257931,664502,MOTORWAY,#NULL!,Greater Glasgow,Glasgow City,
1033510,07-Apr-21,3:15:00 PM,Slight,329197,670030,A,#NULL!,Edinburgh,City of Edinburgh,
1033530,07-Apr-21,7:20:00 PM,Serious,342138,733754,Unclassified,Unclass,Tayside,Dundee City,
1033533,07-Apr-21,1:40:00 AM,Serious,319994,672715,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
1033544,06-Apr-21,5:20:00 PM,Serious,343682,749956,Unclassified,Unclass,Tayside,Angus,
1033657,02-Apr-21,6:50:00 PM,Fatal,298039,576207,Unclassified,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1033753,11-Mar-21,6:56:00 PM,Slight,315171,568794,A,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1033774,07-Apr-21,7:43:00 AM,Serious,328768,958401,B,#NULL!,Highland and Islands,Highland,
1033779,07-Apr-21,11:20:00 AM,Serious,235409,589555,Unclassified,#NULL!,Ayrshire,South Ayrshire,
1033808,06-Apr-21,4:19:00 PM,Serious,359917,834924,A,#NULL!,North East,Aberdeenshire,
1033847,13-Mar-21,11:35:00 AM,Slight,319479,566589,B,Unclass,Dumfries and Galloway,Dumfries & Galloway,
1033859,08-Apr-21,12:35:00 PM,Slight,277316,655900,A,#NULL!,Lanarkshire,North Lanarkshire,
1033890,08-Apr-21,4:30:00 PM,Serious,307308,740451,A,#NULL!,Tayside,Perth & Kinross,Involving at least 1 x Pedal Cycle
1033897,08-Apr-21,1:54:00 PM,Slight,364860,766013,A,C,Tayside,Angus,
1033916,08-Apr-21,11:33:00 AM,Serious,185537,687081,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
1033923,07-Apr-21,4:45:00 PM,Slight,227558,676378,Unclassified,Unclass,Renfrewshire and Inverclyde,Inverclyde,
1033926,08-Apr-21,12:55:00 PM,Slight,319934,670254,Unclassified,Unclass,Edinburgh,City of Edinburgh,
1034028,05-Apr-21,9:05:00 PM,Serious,273600,654681,A,#NULL!,Lanarkshire,South Lanarkshire,
1034031,09-Apr-21,6:25:00 AM,Slight,266717,665693,MOTORWAY,Unclass,Greater Glasgow,Glasgow City,
1034076,09-Apr-21,9:47:00 AM,Slight,318576,674949,A,A,Edinburgh,City of Edinburgh,
1034215,09-Apr-21,4:30:00 PM,Serious,268333,669639,B,#NULL!,Lanarkshire,North Lanarkshire,
1034227,09-Apr-21,7:35:00 PM,Serious,252950,660693,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
1034228,09-Apr-21,6:08:00 PM,Serious,277164,664921,A,Unclass,Lanarkshire,North Lanarkshire,
1034229,09-Apr-21,7:50:00 PM,Serious,259966,669180,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
1034231,09-Apr-21,4:15:00 PM,Slight,258186,661580,B,#NULL!,Greater Glasgow,Glasgow City,
